2014, 5.0万公里, 到店服务
2017, 4.4万公里, 到店服务
2019, 0.1万公里, 到店服务
2014, 6.9万公里, 到店服务
2018, 1.7万公里, 到店服务
2016, 3.3万公里, 到店服务
2016, 2.0万公里, 到店服务
2013, 8.7万公里, 到店服务
2014, 5.4万公里, 到店服务
2018, 1.2万公里, 到店服务
2016, 2.8万公里, 到店服务
2018, 1.0万公里, 到店服务
2014, 1.6万公里, 到店服务
2013, 11.2万公里, 到店服务
2017, 1.1万公里, 店内直卖
2013, 14.0万公里, 到店服务
2013, 8.6万公里, 到店服务
2012, 13.4万公里, 到店服务
2016, 6.7万公里, 到店服务
2019, 0.2万公里, 到店服务
2016, 4.4万公里, 到店服务
2012, 5.3万公里, 到店服务
2017, 3.7万公里, 到店服务
2014, 5.0万公里, 到店服务
2015, 7.0万公里, 到店服务
2011, 8.4万公里, 到店服务
2018, 1.2万公里, 店内直卖
2016, 7.5万公里, 到店服务
2016, 4.2万公里, 到店服务
2017, 1.9万公里, 到店服务
2017, 3.5万公里, 到店服务
2014, 6.1万公里, 到店服务
2016, 4.0万公里, 到店服务
2018, 0.7万公里, 店内直卖
2014, 9.7万公里, 到店服务
2016, 2.4万公里, 到店服务
2017, 1.3万公里, 到店服务
2014, 5.4万公里, 到店服务
2011, 7.6万公里, 到店服务
2017, 2.1万公里, 到店服务
2014, 4.3万公里, 到店服务
2014, 3.7万公里, 到店服务
2016, 3.0万公里, 到店服务
2017, 7.0万公里, 到店服务
2016, 2.4万公里, 到店服务
2011, 9.9万公里, 到店服务
2012, 5.4万公里, 到店服务
2014, 5.7万公里, 到店服务
2015, 3.6万公里, 到店服务
2011, 3.5万公里, 到店服务
2014, 3.3万公里, 到店服务
2010, 4.5万公里, 到店服务
2012, 7.4万公里, 到店服务
2015, 4.8万公里, 到店服务
2015, 2.5万公里, 到店服务
2016, 4.7万公里, 到店服务
2014, 3.4万公里, 到店服务
2011, 8.9万公里, 到店服务
2013, 2.3万公里, 到店服务
2014, 5.5万公里, 到店服务
2013, 6.3万公里, 到店服务
2017, 3.9万公里, 到店服务
2014, 6.8万公里, 到店服务
2013, 9.9万公里, 到店服务
2012, 4.7万公里, 到店服务
2015, 3.2万公里, 到店服务
2015, 8.3万公里, 到店服务
2016, 4.1万公里, 到店服务
